"curp_funcionario","r_70-2010_LUJO_TOTAL","r_70-2010_NO LUJO_TOTAL","r_2010-2015_LUJO_TOTAL","r_2010-2015_NO LUJO_TOTAL","r_2015-2020_LUJO_TOTAL","r_2015-2020_NO LUJO_TOTAL","r_70-2010_LUJO_VALOR","r_70-2010_NO LUJO_VALOR","r_2010-2015_LUJO_VALOR","r_2010-2015_NO LUJO_VALOR","r_2015-2020_LUJO_VALOR","r_2015-2020_NO LUJO_VALOR"
"LIMA800412MAGRRR02",NA,2,NA,NA,NA,NA,NA,479034,NA,NA,NA,NA
"LINE750515MVZMVR09",NA,1,2,3,NA,NA,NA,464284,3866849,1671955,NA,NA
"LINL850308HVZNRS02",1,3,1,1,NA,NA,577476,1418362,460764,538392,NA,NA
"LIOO800207HAGMVT02",1,4,NA,NA,NA,NA,42110,618525,NA,NA,NA,NA
"LIOR860713HDFNVS06",1,1,1,2,NA,1,616791,409354,2e+06,1011680,NA,728858
"LIRR850915HDFNLS08",NA,1,NA,1,NA,NA,NA,585814,NA,490715,NA,NA
"LISC870511HVZRLR01",NA,NA,2,3,NA,1,NA,NA,2461710,1919705,NA,416405
"LIVA840425MPUNZF03",NA,1,1,2,NA,NA,NA,486152,495360,929779,NA,NA
"LLCM750507MSNLRR06",1,2,NA,1,NA,NA,547063,824199,NA,505904,NA,NA
"LLDM851026HVZLLR03",NA,4,NA,NA,NA,NA,NA,857875,NA,NA,NA,NA
"LLKE710204MAGLRR07",1,NA,NA,4,1,NA,1100000,NA,NA,2242679,449507,NA
"LLLR871124MVZLCS03",NA,2,3,2,1,NA,NA,1120018,5068380,1004373,475746,NA
"LLPJ800015MDFLCM04",1,1,1,2,NA,2,1100000,415592,645785,1017448,NA,1107490
"LLSR780606MDFLNM01",1,1,NA,2,NA,NA,376051,380743,NA,852486,NA,NA
"LOAA760425MAGZDR02",NA,1,3,3,NA,NA,NA,608349,1194148,1388114,NA,NA
"LOBB740115MAGYRR04",NA,3,NA,NA,NA,NA,NA,513510,NA,NA,NA,NA
"LOBG741009MAGZNL04",NA,4,NA,NA,NA,NA,NA,407815,NA,NA,NA,NA
"LOBR790002MSNYRS05",1,2,1,1,NA,NA,417967,625015,522480,513002,NA,NA
"LÓBX740807HSNPRM06",NA,4,NA,NA,NA,NA,NA,747046,NA,NA,NA,NA
"LOCA820514HPUNHF05",1,3,NA,NA,NA,NA,268408,434129,NA,NA,NA,NA
"LOCC770613MPUNRL02",NA,1,2,3,1,1,NA,479014,748520,2109157,519739,555537
"LOCE830920HPUMSM04",NA,6,NA,NA,NA,NA,NA,1007310,NA,NA,NA,NA
"LÓCL740816HPUPHS03",NA,2,NA,1,NA,NA,NA,810666,NA,408936,NA,NA
"LOEE891125MSNRCN05",NA,3,1,1,NA,NA,NA,1398988,590954,432144,NA,NA
"LÓFD841024HPUPRN05",NA,NA,3,2,1,1,NA,NA,1141073,1036627,649547,529979
"LÓFV820426HPUPJC01",NA,NA,2,4,NA,NA,NA,NA,2629493,2189149,NA,NA
"LOGD770417HVZMTN02",NA,NA,5,2,NA,NA,NA,NA,2134533,1115024,NA,NA
"LÓGI770722HAGPRN02",1,1,1,6,NA,NA,1100000,398808,436722,2938200,NA,NA
"LOGR831107HAGZNS09",NA,NA,3,2,1,NA,NA,NA,5224612,1100657,386395,NA
"LOHJ750322HDFYNS01",2,NA,2,1,NA,NA,752176,NA,938101,555904,NA,NA
"LOKL720405MPURNS08",NA,3,NA,NA,NA,NA,NA,1519231,NA,NA,NA,NA
"LOLM750315MPUNBR02",1,3,NA,1,NA,NA,421627,1328147,NA,389959,NA,NA
"LOMC720221HVZZSR02",NA,NA,3,3,2,NA,NA,NA,4471957,1786743,1489890,NA
"LOMD820317HDFZDL06",NA,2,NA,1,NA,NA,NA,622719,NA,510591,NA,NA
"LOMF881011HPUYNL02",1,NA,NA,4,NA,1,1100000,NA,NA,2096607,NA,407297
"LOMI710126HVZZCS07",NA,3,NA,NA,NA,NA,NA,776232,NA,NA,NA,NA
"LOML741107MAGNTR01",NA,2,1,2,NA,NA,NA,813367,438716,980652,NA,NA
"LOMP740021MPUNÑL09",NA,2,1,1,NA,1,NA,1036841,1700000,469662,NA,624864
"LOOJ870015MDFRNC03",NA,3,1,NA,NA,1,NA,1185900,330454,NA,NA,574007
"LOOL800903HPUNMR09",1,NA,2,4,NA,1,718724,NA,2791060,2171865,NA,578372
"LOPJ831022HVZYRN05",NA,NA,3,1,2,1,NA,NA,5151590,526813,1358598,548617
"LOQC870603MAGMRN03",NA,1,NA,2,NA,NA,NA,528495,NA,901766,NA,NA
"LOQS700215MDFVNL05",1,1,3,1,1,1,743249,660374,3101535,420836,641589,771981
"LORA891011MAGVVC08",1,5,NA,NA,NA,NA,161377,1308950,NA,NA,NA,NA
"LORE751001MPURNundefined03",1,NA,NA,3,NA,NA,1100000,NA,NA,1903340,NA,NA
"LÓRE860323MDFPDP05",NA,NA,3,3,NA,2,NA,NA,4607592,1668923,NA,1151738
"LORJ800109HDFZCS07",NA,5,NA,NA,NA,NA,NA,497172,NA,NA,NA,NA
"LORJ830115MVZMDS05",NA,2,NA,1,NA,NA,NA,951079,NA,372117,NA,NA
"LORP740516MPUYNT06",1,NA,2,2,NA,1,383898,NA,2411986,1019675,NA,624638
"LOSA830407MAGZZL06",1,NA,NA,4,1,NA,1100000,NA,NA,2306665,708511,NA
"LOSC810119HPUVLR04",NA,1,5,3,NA,NA,NA,576418,5452545,1931640,NA,NA
"LÓSC880311MVZPTT06",NA,1,2,3,1,1,NA,545449,2272129,1670026,615371,512541
"LOSJ790827MDFZRS02",NA,2,NA,3,NA,1,NA,829681,NA,1527447,NA,305289
"LOSJ830207HVZVLM04",NA,5,NA,NA,NA,NA,NA,839197,NA,NA,NA,NA
"LOUC840204MVZZBN01",1,3,NA,NA,NA,NA,90470,574869,NA,NA,NA,NA
"LOVA700526MPUYLundefined02",NA,NA,2,2,NA,2,NA,NA,4967062,1455113,NA,1092532
"LOVA860105MPUZL 05",NA,2,NA,3,NA,NA,NA,897723,NA,1503052,NA,NA
"LÓVG731004MDFPRL03",NA,5,1,NA,NA,NA,NA,2454311,307216,NA,NA,NA
"LOVV890321HSNNRC09",NA,1,NA,NA,NA,1,NA,517580,NA,NA,NA,447185
"LUBM891105MAGCZG07",NA,3,NA,1,NA,NA,NA,1392846,NA,346167,NA,NA
"LUBS831122MSNCNL03",NA,3,NA,1,NA,NA,NA,1315492,NA,371372,NA,NA
"LUCA720509HSNVST02",NA,1,3,NA,1,1,NA,600877,3275396,NA,609543,572796
"LUCJ710526HSNNRM01",NA,1,2,3,NA,1,NA,401525,515251,2093729,NA,410151
"LUCL890309HVZGRS09",NA,4,NA,1,NA,NA,NA,1866071,NA,428640,NA,NA
"LUEC750305MVZNCR01",NA,2,NA,NA,NA,NA,NA,826063,NA,NA,NA,NA
"LUGA800926HDFCRX07",NA,2,NA,1,NA,NA,NA,974023,NA,354487,NA,NA
"LUGD811120MSNCLN01",1,2,2,1,NA,1,1100000,858400,1144546,708207,NA,683623
"LUGF880009MDFVSL01",1,NA,2,3,NA,1,408799,NA,4794119,1486514,NA,570533
"LUGG770011HDFGDB09",2,2,NA,1,NA,NA,871881,1136642,NA,509735,NA,NA
"LUGM880903HSNCMX07",1,NA,5,2,NA,1,728699,NA,5431643,1231201,NA,780400
"LUGR780912MDFGMB06",1,1,4,2,NA,1,1100000,766939,2033418,1438282,NA,501537
"LUGR820426HVZGLB04",NA,NA,2,3,NA,1,NA,NA,3808943,1784332,NA,577883
"LUHU760602MDFCLL01",1,NA,1,2,NA,1,661135,NA,3100000,1212720,NA,646087
"LULG740016HDFNVR07",1,2,NA,1,NA,NA,557631,998316,NA,499626,NA,NA
"LULM761026MDFCLR01",NA,NA,4,1,1,1,NA,NA,4926057,696479,506947,640474
"LUMG760518HAGCRR01",NA,5,NA,1,NA,NA,NA,2471177,NA,364170,NA,NA
"LUMM770612MSNCNR03",1,1,1,2,1,NA,395657,384478,4200000,1135649,475695,NA
"LUMR741005HDFVRN08",1,3,1,2,NA,NA,483649,1443223,319057,1095528,NA,NA
"LUNB770206MVZCVR08",1,1,NA,1,NA,1,521711,464178,NA,575872,NA,545835
"LUOM780925MPUVZR07",NA,NA,2,3,NA,NA,NA,NA,2260263,1543467,NA,NA
"LUPJ750305HVZVLS03",NA,5,NA,NA,NA,NA,NA,761455,NA,NA,NA,NA
"LUPL870317MDFVRS01",NA,2,NA,1,NA,1,NA,897388,NA,367534,NA,430609
"LUPM870902MDFVRG04",1,NA,2,3,NA,NA,568071,NA,3707941,1522327,NA,NA
"LUPS820811MVZVZS08",1,NA,NA,2,NA,2,1100000,NA,NA,1233970,NA,1142931
"LUPY800026MDFVRM04",1,NA,3,2,NA,NA,604373,NA,4363982,1374277,NA,NA
"LURE860006HDFCLT01",NA,3,NA,1,NA,NA,NA,1226460,NA,372884,NA,NA
"LURJ880820HAGNJN09",NA,4,NA,NA,NA,1,NA,1991603,NA,NA,NA,355598
"LUTS770722HAGCJL01",1,4,NA,1,NA,NA,444674,1929161,NA,372834,NA,NA
"LUVA701109MDFNLF05",NA,1,5,1,NA,2,NA,656208,4708679,772319,NA,1290336
"LUVE750715HVZGLT07",NA,1,3,4,NA,NA,NA,507470,5388140,2106050,NA,NA
"LUYA730910HPUVNN01",NA,5,NA,NA,NA,NA,NA,942264,NA,NA,NA,NA
"LUZN781106HSNNVM03",NA,NA,3,3,1,NA,NA,NA,5332384,1673741,574030,NA
"MAAA791007HSNYRF08",1,1,2,3,NA,NA,384133,586152,738121,1930924,NA,NA
"MAAD820501MVZTVN05",1,NA,NA,1,NA,2,1100000,NA,NA,426091,NA,1009867
"MAAM770920HDFDVG01",NA,NA,4,2,1,NA,NA,NA,3887570,1184614,425974,NA
"MAAN800526HDFGYC01",1,1,NA,1,NA,NA,510316,529230,NA,445996,NA,NA
"MAAR750426HPUDCM01",1,3,NA,NA,NA,NA,94785,716108,NA,NA,NA,NA
"MABG880226MHGRLR03",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,885000
"MABH810314HAGRRG06",2,3,NA,NA,NA,NA,358178,716735,NA,NA,NA,NA
"MABL830503MPUDLR07",NA,4,NA,1,NA,NA,NA,1602654,NA,424611,NA,NA
"MABM720702HPUNÑR08",NA,NA,4,NA,NA,1,NA,NA,5909569,NA,NA,410400
"MABM741124MVZYNL07",1,4,NA,NA,NA,NA,408846,2054678,NA,NA,NA,NA
"MABM810809HAGLRR04",1,NA,2,3,NA,NA,443773,NA,2421532,2004380,NA,NA
"MABM890607MAGNNN07",2,NA,1,3,NA,NA,1786629,NA,693099,1959422,NA,NA
"MABN820125MAGTTM08",1,NA,3,3,NA,NA,755468,NA,5274226,1941983,NA,NA
"MABN870501MPUTSR04",1,2,NA,NA,NA,NA,64459,501740,NA,NA,NA,NA
"MACA700925HPUTPL08",1,4,NA,1,NA,NA,483005,1761408,NA,550707,NA,NA
"MACA750520MSNGNN09",NA,4,NA,NA,NA,NA,NA,716328,NA,NA,NA,NA
"MACA771018MSNNLT06",NA,4,NA,NA,NA,NA,NA,1024027,NA,NA,NA,NA
"MACÁ791127MVZTRG04",NA,NA,2,4,NA,NA,NA,NA,2202965,2512794,NA,NA
"MACA860808HPURRX03",1,2,NA,NA,NA,NA,495052,796412,NA,NA,NA,NA
"MACD880902MPUTBN01",NA,2,NA,2,NA,1,NA,1048163,NA,681819,NA,576110
"MACE830120HDFLRL04",NA,2,NA,2,1,NA,NA,897146,NA,1159873,415078,NA
"MACE830512MAGRLS01",NA,NA,2,3,1,NA,NA,NA,4793279,1868900,481991,NA
"MACE880312HSNLRC08",NA,3,2,1,NA,NA,NA,1858078,3509074,651448,NA,NA
"MACG870809MPUTRB04",NA,1,NA,NA,NA,NA,NA,496205,NA,NA,NA,NA
"MACH860026HAGRHG04",NA,1,3,2,1,NA,NA,756788,5121735,1288904,433625,NA
"MACI830705HAGCSR02",NA,1,3,NA,1,NA,NA,658157,4113569,NA,670293,NA
"MACL790804MPUNRS02",NA,NA,5,2,1,NA,NA,NA,3612717,1099404,736410,NA
"MACL851127MAGGRC06",1,5,NA,1,NA,NA,335673,2002551,NA,466318,NA,NA
"MACL860220HDFYHC08",1,NA,2,2,1,1,1100000,NA,1172780,1274880,423556,791759
"MACM740904MAGYNR04",2,NA,3,1,NA,2,1348733,NA,2927891,711694,NA,966111
"MACM760410MAGDJN05",1,NA,2,2,NA,1,1100000,NA,1098268,1088897,NA,646715
"MACM780321HAGTDR09",NA,NA,1,3,1,1,NA,NA,3100000,1502059,754060,456691
"MACM840820HVZDRR05",NA,NA,4,1,2,NA,NA,NA,5936664,673215,1328303,NA
"MACP801127MPUDSD03",1,2,NA,4,NA,NA,574620,1100325,NA,1779873,NA,NA
"MACR820324HDFNRM06",1,3,NA,NA,NA,NA,78849,354102,NA,NA,NA,NA
"MACX741118HVZDRM09",1,4,NA,NA,NA,NA,74740,609755,NA,NA,NA,NA
"MADA810118HPUSÑX02",NA,2,NA,1,NA,NA,NA,1047396,NA,508782,NA,NA
"MADM760313HSNGLT02",NA,1,NA,2,NA,1,NA,424301,NA,905185,NA,596500
"MADR751103HSNRVS03",NA,2,NA,NA,NA,2,NA,730598,NA,NA,NA,789739
"MADS860409HDFTLN07",2,6,NA,NA,NA,NA,662156,1539746,NA,NA,NA,NA
"MAFÁ880826MPURRG08",2,3,NA,NA,NA,NA,871918,1469381,NA,NA,NA,NA
"MAFG730313HPURLB08",1,5,NA,2,NA,NA,563584,2366005,NA,1064424,NA,NA
"MAFL740015MSNRRZ07",NA,1,2,2,1,1,NA,656742,3868567,1106961,792557,538512
"MAFM880925MSNDLR05",2,1,NA,1,NA,NA,636992,585448,NA,458219,NA,NA
"MAFY851121MAGDNM07",2,2,NA,NA,NA,NA,432895,388688,NA,NA,NA,NA
"MAGB800222HPURYR06",1,NA,4,3,NA,NA,1100000,NA,2519682,2110954,NA,NA
"MAGF770511HAGNML01",NA,3,NA,NA,NA,NA,NA,652579,NA,NA,NA,NA
"MAGF881006HVZDLR06",1,3,NA,1,NA,NA,501054,1444894,NA,573437,NA,NA
"MAGI760518HSNRRR07",NA,3,NA,1,NA,NA,NA,1363561,NA,462932,NA,NA
"MAGJ710827HAGRRN06",NA,3,NA,NA,NA,NA,NA,625670,NA,NA,NA,NA
"MAGL860608HPURNC09",NA,1,3,1,NA,NA,NA,443898,1163448,696080,NA,NA
"MAGS710119MDFYTF09",NA,NA,6,2,NA,NA,NA,NA,4546252,853114,NA,NA
"MAHE770108HVZSLT07",NA,2,NA,NA,NA,NA,NA,394247,NA,NA,NA,NA
"MAHG700824HDFDNR06",NA,4,1,1,NA,NA,NA,1685764,361397,352580,NA,NA
"MAHI810805MVZDRR07",NA,NA,2,1,NA,1,NA,NA,4950967,637912,NA,564309
"MAHL810010HAGTRS03",NA,NA,5,NA,1,1,NA,NA,4460111,NA,759670,493726
"MAHY730810HSNYRR07",1,4,NA,NA,NA,NA,344299,1746577,NA,NA,NA,NA
"MÁJO720017MSNRRT06",NA,3,NA,1,NA,NA,NA,1551474,NA,358144,NA,NA
"MAJO740627MAGTRV07",1,3,1,NA,NA,NA,435480,1557029,481530,NA,NA,NA
"MAKE801102MVZSZR04",NA,1,2,1,NA,1,NA,628436,3793050,547296,NA,405573
"MAKI830324MSNYMB05",1,3,NA,1,1,NA,481599,1196367,NA,318158,332186,NA
"MAKI870222HPUGRN01",NA,5,NA,NA,NA,NA,NA,715952,NA,NA,NA,NA
"MAKL840216MPURRN02",NA,5,NA,NA,NA,NA,NA,618497,NA,NA,NA,NA
"MAKM790506HDFTHC05",NA,6,NA,NA,NA,NA,NA,984447,NA,NA,NA,NA
"MAKR791120HSNSMM04",1,2,NA,1,NA,NA,402542,921659,NA,372645,NA,NA
"MALE760510HAGRVR09",1,2,3,2,1,NA,1100000,1382340,1350311,1452656,677572,NA
"MALJ800206MPUSVS05",2,2,NA,NA,1,NA,1078422,951841,NA,NA,536884,NA
"MALS820009HAGRZS05",NA,1,2,4,NA,NA,NA,488146,2476240,2373246,NA,NA
"MALV770626MVZTRR07",NA,2,NA,1,NA,NA,NA,818933,NA,327564,NA,NA
"MAMA760802MSNTRX07",NA,NA,2,3,1,NA,NA,NA,661603,1749903,523387,NA
"MAMC720907MAGLRT02",1,1,1,1,NA,2,445359,511928,582861,591010,NA,874443
"MAMC800703MAGTDR06",1,NA,3,2,1,NA,534485,NA,1005098,1045435,521021,NA
"MAME730511MAGCNS03",NA,5,NA,NA,NA,NA,NA,1102647,NA,NA,NA,NA
"MAME870726HAGRNM02",3,NA,1,5,NA,NA,2076917,NA,542649,2381705,NA,NA
"MÁMG851014MDFRTD07",3,1,NA,1,NA,2,2447267,384212,NA,431821,NA,1188985
"MAMJ760102HDFRNV06",1,NA,1,4,NA,NA,1100000,NA,630659,2643371,NA,NA
"MAML790017MSNTNZ06",NA,NA,3,3,NA,NA,NA,NA,1405720,1732069,NA,NA
"MAML790713MVZTLZ07",NA,2,2,NA,1,1,NA,919063,711061,NA,472101,436115
"MAMM771006MSNLNN09",NA,NA,2,3,NA,NA,NA,NA,2190188,2058561,NA,NA
"MAMP810504MSNCTT07",1,1,2,2,1,NA,481044,392050,4616200,1150116,477895,NA
"MAMV700114MPUCRR09",1,NA,2,4,NA,NA,602689,NA,563460,2275256,NA,NA
"MANJ871011MVZRRN03",1,3,NA,NA,NA,NA,80249,630563,NA,NA,NA,NA
"MANL801024HVZLZR06",1,1,1,NA,NA,NA,413588,577734,399715,NA,NA,NA
"MANL841126MPUCÑS02",1,1,4,1,NA,1,773480,505868,6210389,585920,NA,712093
"MAOG770512HVZSRB05",NA,3,NA,1,NA,2,NA,1311507,NA,590921,NA,880545
"MÁOM770303MSNRTY04",NA,3,NA,2,NA,NA,NA,1459946,NA,877456,NA,NA
"MAOM870603HAGNRR04",NA,NA,1,3,2,NA,NA,NA,0,1979121,1264842,NA
"MAOY860925HSNTDR08",NA,2,NA,NA,NA,NA,NA,300522,NA,NA,NA,NA
"MAPC870422MSNNDT08",NA,3,NA,NA,NA,NA,NA,614055,NA,NA,NA,NA
"MAPE720722HAGGRundefined01",1,1,3,NA,NA,NA,387857,530112,5068868,NA,NA,NA
"MAPN851112HVZTRR01",2,NA,NA,4,NA,NA,1633219,NA,NA,2843550,NA,NA
"MAPV740913HVZDÑN07",NA,1,2,1,NA,2,NA,607198,4933369,734347,NA,1091145
"MAPV801106MDFDRL01",1,5,NA,NA,NA,NA,128636,1104206,NA,NA,NA,NA
"MAQÁ800825MSNRVG09",NA,4,NA,2,NA,NA,NA,1933155,NA,902989,NA,NA
"MAQL721119MVZSSR07",NA,2,NA,2,NA,NA,NA,737329,NA,803903,NA,NA
"MARA740209MDFSBD06",NA,NA,3,4,NA,NA,NA,NA,2721701,2220351,NA,NA
"MARC840924HAGDYR03",NA,NA,6,3,1,NA,NA,NA,4580735,1717536,467525,NA
"MARG900821HDFCVS05",NA,NA,NA,1,NA,2,NA,NA,NA,366200,NA,1225800
"MARJ700508MVZDLR05",NA,1,4,1,NA,1,NA,381313,3280020,699882,NA,696800
"MARJ710215MAGDYN08",2,NA,1,2,NA,2,1502715,NA,765422,1066948,NA,1177323
"MARJ850005MSNLSS06",NA,3,NA,NA,NA,NA,NA,1308988,NA,NA,NA,NA
"MARO871025HSNNST09",NA,2,2,2,NA,1,NA,1307812,481148,1189853,NA,402922
"MARR790605HPUTYD03",1,2,NA,NA,NA,NA,432404,958545,NA,NA,NA,NA
"MASA750116MPUYLR06",NA,NA,2,2,NA,1,NA,NA,2709349,1313184,NA,557023
"MASA790516MAGRRJ03",1,4,NA,NA,NA,NA,304620,1090541,NA,NA,NA,NA
"MASA800101HDFNLB06",NA,4,NA,NA,NA,NA,NA,802707,NA,NA,NA,NA
"MASA800415MPUCVN01",NA,5,NA,NA,NA,NA,NA,1143993,NA,NA,NA,NA
"MASC780707HAGRDM05",1,NA,2,2,1,NA,440300,NA,2402003,1040917,564697,NA
"MASE820607MSNSMZ08",NA,2,NA,3,NA,NA,NA,885937,NA,1567386,NA,NA
"MASG861105HAGNNR09",NA,4,NA,1,NA,NA,NA,1600510,NA,481299,NA,NA
"MASL870819HSNTNZ06",NA,NA,4,5,NA,NA,NA,NA,2107512,3106999,NA,NA
"MASS770018MPUTDL06",NA,1,1,6,NA,NA,NA,451679,3100000,3212682,NA,NA
"MASS821011MSNDGB05",NA,NA,4,4,NA,NA,NA,NA,5467352,2387632,NA,NA
"MATE730316HAGDJP02",NA,NA,2,2,NA,NA,NA,NA,3605294,1244126,NA,NA
"MÁTL820803HPURML08",NA,5,NA,NA,NA,NA,NA,2451134,NA,NA,NA,NA
"MÁTL880912HSNRJZ09",NA,NA,2,2,NA,NA,NA,NA,4748790,1265414,NA,NA
"MATM720523MDFRMR07",NA,4,NA,NA,NA,NA,NA,657108,NA,NA,NA,NA
"MATS710309MVZTFN07",NA,3,NA,2,NA,NA,NA,1706631,NA,670000,NA,NA
"MAUJ811027HAGTBL05",3,NA,1,1,NA,NA,2525232,NA,381198,648660,NA,NA
"MAUL710702MAGDSC02",1,3,NA,NA,NA,NA,299403,681575,NA,NA,NA,NA
"MAVJ750811HAGCSN01",1,4,NA,1,NA,NA,596680,1601238,NA,394260,NA,NA
"MAVM790818HSNRNR08",NA,NA,5,1,NA,1,NA,NA,4052147,601754,NA,794743
"MAVM800602MSNSRR06",NA,4,1,NA,NA,NA,NA,2160342,519572,NA,NA,NA
"MAVS790127HPURLB02",NA,NA,3,2,NA,1,NA,NA,1409569,1242559,NA,590081
"MAVT820207HSNRRD01",NA,3,NA,NA,NA,NA,NA,729415,NA,NA,NA,NA
"MAXM870027HDFTNR07",1,NA,1,3,2,NA,1100000,NA,543726,1470247,1008620,NA
"MAYC810612HVZRMR03",1,NA,2,3,NA,NA,798931,NA,2775102,1759876,NA,NA
"MAYL740302MPUTBZ07",1,NA,1,1,NA,1,375580,NA,519155,595433,NA,318590
"MAYM770506HAGTNR03",NA,4,NA,NA,NA,1,NA,1789976,NA,NA,NA,532655
"MAZA790105MDFSMX03",NA,1,4,1,NA,NA,NA,468769,4951682,526181,NA,NA
"MAZC870319MDFSPN07",1,1,1,4,NA,NA,792012,429363,2e+06,2248004,NA,NA
"MAZE840701MVZYRR08",NA,NA,1,3,NA,1,NA,NA,0,1666137,NA,563285
"MAZL750210MVZSMZ01",2,NA,5,1,NA,1,946112,NA,3980522,712203,NA,394283
"MEAE700021MPUNÑS02",NA,NA,3,1,NA,NA,NA,NA,2669268,744469,NA,NA
"MEAE891106HPULML05",NA,1,2,3,NA,NA,NA,662119,400859,1643130,NA,NA
"MEAF720316HPULNR05",1,4,NA,NA,NA,NA,289773,723785,NA,NA,NA,NA
"MEAG810305MPUZLL08",NA,2,NA,1,NA,NA,NA,890808,NA,305428,NA,NA
"MEAM740717MVZRDN07",NA,1,2,2,1,NA,NA,655388,4627608,1111700,722963,NA
"MEAM870012HDFZNT05",2,3,NA,NA,NA,NA,501306,590732,NA,NA,NA,NA
"MEAP840415MPUZDT04",2,NA,2,3,NA,NA,1143118,NA,2678259,1480791,NA,NA
"MEAS870820MAGDNS06",NA,1,5,2,1,NA,NA,436513,4431163,1371720,656588,NA
"MEBA780127MVZNRN09",NA,1,2,4,NA,NA,NA,680193,2087767,2189762,NA,NA
"MEBC730323HSNRRR07",NA,NA,2,2,NA,1,NA,NA,393125,1058429,NA,726026
"MEBG700609MSNRLD05",NA,2,NA,1,NA,NA,NA,846014,NA,507578,NA,NA
"MEBL730205MPURRZ07",NA,2,4,2,NA,NA,NA,1126850,5035194,1075101,NA,NA
"MEBL770307HDFNNL07",1,3,1,2,NA,1,547279,1662378,448484,1019931,NA,412628
"MECA741125MSNRRF03",1,NA,3,3,NA,1,656479,NA,4159476,1372830,NA,487788
"MECC740318MPURJN09",NA,NA,3,2,NA,1,NA,NA,1121135,905194,NA,687960
"MECD700215HSNLRR09",1,3,NA,1,NA,1,469574,1258226,NA,591743,NA,568760
"MECD840315MDFJNM04",NA,5,NA,NA,NA,NA,NA,1149099,NA,NA,NA,NA
"MECG800605HAGJDR01",NA,3,NA,NA,NA,NA,NA,454456,NA,NA,NA,NA
"MÉCG810402HDFNRL01",NA,NA,3,1,NA,NA,NA,NA,5591925,455186,NA,NA
"MECH740920MSNLLR02",NA,2,3,2,1,NA,NA,1027306,3163722,1498153,738741,NA
"MEDM710815MSNJLR05",NA,4,NA,2,NA,NA,NA,1757138,NA,950549,NA,NA
"MEEB770918HSNDPR03",1,4,NA,2,NA,NA,589499,1739227,NA,754389,NA,NA
"MEED840206HPUDPB07",NA,5,NA,NA,NA,NA,NA,1045103,NA,NA,NA,NA
"MEEI700527HPUDRB09",NA,3,1,NA,NA,NA,NA,1318016,552223,NA,NA,NA
"MEFN790405HAGNRT01",NA,2,1,1,NA,2,NA,778112,324394,522847,NA,932969
"MEGA780919MVZDRL08",1,3,NA,NA,NA,NA,295189,657156,NA,NA,NA,NA
"MEGA810327MDFJRB01",1,3,3,NA,NA,2,477682,1839271,3937868,NA,NA,1079954
"MEGE730415HDFSRS07",NA,3,1,NA,NA,NA,NA,1380158,589473,NA,NA,NA
"MEGJ810026HSNJMZ05",1,NA,2,2,1,1,1100000,NA,1040418,1102767,569532,452722
"MEGS870016HPURLL01",1,3,NA,NA,NA,NA,302826,658264,NA,NA,NA,NA
"MÉGT890617HVZNLD02",NA,1,1,4,NA,NA,NA,562028,1700000,2318754,NA,NA
"MEHÁ890423MDFNRG03",2,NA,2,2,NA,NA,1799656,NA,1264969,1242957,NA,NA
"MEHD721023HPUNRM05",1,NA,4,2,NA,1,775516,NA,3624356,1212037,NA,522570
"MÉHE740914HDFNRS08",NA,NA,2,5,NA,NA,NA,NA,2479952,2997091,NA,NA
"MEJS871006HSNLSF05",NA,2,NA,NA,NA,NA,NA,629665,NA,NA,NA,NA
"MEKA770223MVZRNF05",NA,1,4,2,1,NA,NA,500936,3455630,1124298,670171,NA
"MEKE801125MSNRDN01",NA,4,NA,NA,NA,NA,NA,1762409,NA,NA,NA,NA
"MEKE880723MSNNRP06",NA,4,NA,NA,NA,NA,NA,1038780,NA,NA,NA,NA
"MÉKI800918HSNNRS05",NA,3,NA,1,NA,NA,NA,1268067,NA,518031,NA,NA
"MEKJ791006HPURZS03",NA,1,3,1,NA,NA,NA,576309,4162639,554334,NA,NA
"MEKM721021MPURRR02",NA,NA,4,2,NA,2,NA,NA,4953374,1191249,NA,1221123
"MEKR830319MVZNNN02",NA,1,NA,3,NA,NA,NA,442796,NA,1334597,NA,NA
"MELL831024MVZSRR09",NA,6,NA,NA,NA,NA,NA,2677259,NA,NA,NA,NA
"MELV860113MVZNNL04",NA,2,NA,NA,1,NA,NA,738253,NA,NA,407932,NA
"MEMA720115HDFSDF06",NA,2,1,1,NA,NA,NA,942494,360292,307856,NA,NA
"MEMA790019MVZLRX01",NA,5,NA,NA,NA,NA,NA,508893,NA,NA,NA,NA
"MEMA880327HDFNÑ 09",1,NA,3,1,NA,2,457628,NA,3331130,702008,NA,1107484
"MEMD780005HSNNÑG03",NA,3,NA,NA,NA,NA,NA,1457167,NA,NA,NA,NA
"MEMF791021MVZNZT01",NA,3,NA,2,NA,NA,NA,1530762,NA,1096578,NA,NA
"MEMJ730811MAGNRM08",NA,3,NA,NA,NA,NA,NA,300930,NA,NA,NA,NA
"MEMJ740215MAGNNN09",NA,4,NA,NA,NA,NA,NA,1670533,NA,NA,NA,NA
"MÉML880408MDFNÑT08",NA,2,NA,1,1,1,NA,798189,NA,351743,569027,580071
"MEMM700126HDFZCN03",NA,4,NA,1,NA,NA,NA,1796482,NA,354742,NA,NA
